state_code,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act
AK,20200318,9,0,9,0,-0.42157317228282754,-0.44586452867171417,-0.9987753220574083,20200311,0,0,0,0,-0.13908891536077791,-0.1725528600552842,-0.9980184478447818,20200328,102,1,81,1,-0.503384156005056,-0.48128496908893853,-0.9993875166737068,20200328,102,1,81,1,-0.503384156005056,-0.48128496908893853,-0.9993875166737068
AL,20200318,51,0,51,0,-0.23468187830705453,-0.526584185107214,-0.5090010300393473,20200313,6,0,6,0,-0.09431839298638275,-0.29502715529182966,-0.052029242877246674,nan,nan,nan,nan,nan,nan,nan,nan,20200404,1632,44,912,40,-0.34794157308972845,-0.5958542255527297,-0.5402302561487778
AR,20200318,33,0,32,0,-0.2398681253426515,-0.5082259957416488,-0.7674970320849139,20200311,1,0,1,0,-0.1389083057259866,-0.15560878852154206,-0.4935197465804703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AZ,20200318,28,0,19,0,-0.27810929610374496,-0.5443715253067778,-0.8434982857350718,20200311,9,0,7,0,-0.07565553396933841,-0.15830865110629372,-0.6894413786831107,nan,nan,nan,nan,nan,nan,nan,nan,20200331,1298,24,972,18,-0.3924757968803306,-0.6295955173839651,-0.9101523600797294
CA,20200318,893,17,691,13,-0.4008416143524459,-0.6442049843120073,-0.7014502626221505,20200304,55,1,29,1,-0.03406502083655608,-0.0873042794040076,0.442033769385556,20200319,1067,19,815,15,-0.4159167155012856,-0.6552939737420829,-0.7179098256999845,20200319,1067,19,815,15,-0.4159167155012856,-0.6552939737420829,-0.7179098256999845
CO,20200318,216,3,182,3,-0.3707005957470945,-0.5868164556913972,-0.8992284014750597,20200311,34,0,34,0,-0.09891853575117855,-0.23978197066719983,-0.7859172441564611,20200326,1432,24,1154,19,-0.4654512070823399,-0.6428785273414713,-0.9319363161788524,20200326,1432,24,1154,19,-0.4654512070823399,-0.6428785273414713,-0.9319363161788524
CT,20200318,96,1,93,1,-0.40791361866348785,-0.6131621786407135,-0.13264623008930757,20200310,2,0,2,0,-0.2029067224149572,-0.2620370843203234,1.0629607935848207,20200323,415,10,374,10,-0.46001464633001693,-0.6305879165215419,-0.21908384891833985,20200323,415,10,374,10,-0.46001464633001693,-0.6305879165215419,-0.21908384891833985
DC,20200318,36,0,26,0,-0.574594567555374,-0.7121289018502583,22.049447405499798,20200311,10,0,10,0,-0.230913602681759,-0.42364664971335636,60.54661358298353,20200325,183,2,147,2,-0.6419851310032673,-0.7529840236531983,12.783800694012177,20200401,586,11,403,9,-0.6566467771774052,-0.8095702214330213,5.766008740901297
DE,20200318,26,0,25,0,-0.3380091758244805,-0.6025374351239382,-0.10923837048295426,20200313,4,0,4,0,-0.20175245242991677,-0.37534789459839807,0.41709506780925093,20200324,104,0,88,0,-0.4165272250578105,-0.6395622247790171,-0.271058296199998,20200324,104,0,88,0,-0.4165272250578105,-0.6395622247790171,-0.271058296199998
FL,20200318,326,7,300,5,-0.3287360812502375,-0.56304008065015,0.6089854561468926,20200309,14,2,12,2,-0.04100479816660997,-0.13175581478875123,3.9812997219975133,nan,nan,nan,nan,nan,nan,nan,nan,20200403,10260,169,7062,123,-0.5042015896886123,-0.6913474795830633,-0.07292824883226477
