State,Abbrev,State Code,Rank - Known cases per 1000 people,Rank - US is prepared or very prepared,Rank - Washed hands very frequently,Rank - Avoided large gatherings,Rank - Started working from home,Rank - Purchased extra food
Alabama,Ala.,AL,33,5,45,50,41,33
Alaska,Alaska,AK,32,16,48,40,42,34
Arizona,Ariz.,AZ,49,25,41,37,31,42
Arkansas,Ark.,AR,37,23,43,39,33,32
California,Calif.,CA,14,45,7,6,7,15
Colorado,Colo.,CO,5,35,12,15,9,12
Connecticut,Conn.,CT,12,37,4,4,6,4
Delaware,Del.,DE,15,34,29,8,16,19
District of Columbia,D.C.,DC,3,51,1,1,1,1
Florida,Fla.,FL,28,11,26,28,28,36
Georgia,Ga.,GA,20,14,28,23,11,14
Hawaii,Hawaii,HI,27,41,17,13,46,16
Idaho,Idaho,ID,44,10,47,45,51,35
Illinois,Ill.,IL,21,36,14,21,12,20
Indiana,Ind.,IN,45,22,23,26,19,25
Iowa,Iowa,IA,30,19,40,47,39,50
Kansas,Kans.,KS,41,21,42,41,36,47
Kentucky,Ky.,KY,42,13,24,27,27,18
Louisiana,La.,LA,4,3,34,35,34,22
Maine,Maine,ME,8,28,37,31,40,27
Maryland,Md.,MD,29,43,10,9,4,8
Massachusetts,Mass.,MA,6,47,5,3,2,2
Michigan,Mich.,MI,40,33,16,20,17,21
Minnesota,Minn.,MN,26,32,15,29,23,41
Mississippi,Miss.,MS,38,2,46,51,47,49
Missouri,Mo.,MO,50,20,39,34,35,44
Montana,Mont.,MT,36,29,44,43,48,48
Nebraska,Nebr.,NE,10,30,18,17,22,26
Nevada,Nev.,NV,18,40,36,30,38,28
New Hampshire,N.H.,NH,11,31,27,32,26,24
New Jersey,N.J.,NJ,7,42,3,5,3,3
New Mexico,N.M.,NM,24,39,31,18,25,17
New York,N.Y.,NY,2,46,8,7,8,7
North Carolina,N.C.,NC,47,26,25,24,21,23
North Dakota,N.D.,ND,39,1,51,49,49,51
Ohio,Ohio,OH,43,24,20,14,18,11
Oklahoma,Okla.,OK,46,17,50,46,43,46
Oregon,Ore.,OR,19,48,13,10,20,29
Pennsylvania,Pa.,PA,34,27,22,22,14,13
Rhode Island,R.I.,RI,9,44,11,12,10,5
South Carolina,S.C.,SC,31,7,33,48,45,45
South Dakota,S.D.,SD,22,8,19,36,37,40
Tennessee,Tenn.,TN,25,9,38,38,32,38
Texas,Tex.,TX,48,18,35,25,24,31
Utah,Utah,UT,16,6,9,11,14,6
Vermont,Vt.,VT,17,50,2,16,30,37
Virginia,Va.,VA,35,38,21,19,13,9
Washington,Wash.,WA,1,49,6,2,5,10
West Virginia,W.Va.,WV,51,12,49,44,44,39
Wisconsin,Wis.,WI,23,15,30,33,29,43
Wyoming,Wyo.,WY,13,4,32,42,50,30
