state_name,ranking_based_on_white_colarness
Hawaii,1
New York,2
New Jersey,3
Maryland,4
Florida,5
Nevada,6
Delaware,7
New Mexico,8
Virginia,9
Massachusetts,10
Arizona,11
Montana,12
Rhode Island,13
Colorado,14
California,15
Connecticut,16
West Virginia,17
Maine,18
Georgia,19
Illinois,20
Alaska,21
Missouri,22
Pennsylvania,23
New Hampshire,24
Nebraska,25
Vermont,26
Texas,27
Washington,28
Oklahoma,29
Minnesota,30
South Dakota,31
North Carolina,32
Tennessee,33
Oregon,34
Idaho,35
Utah,36
Louisiana,37
Kansas,38
South Carolina,39
Ohio,40
North Dakota,41
Mississippi,42
Arkansas,43
Wyoming,44
Kentucky,45
Michigan,46
Alabama,47
Iowa,48
Wisconsin,49
Indiana,50
