State,state_code,Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage), Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1)
Alabama,AL,7.751966773,49,17.70034476,5.555555556,0,17.70034476,32,23.92,7.25,0.303093645,0,5.555555556,49,0,0,0,0,0,0,0,0
Alaska,AK,55.51088958,19,44.31044652,22.22222222,100,44.31044652,19,26.94,9.89,0.367112101,0,22.22222222,37,0,0,0,0,0,0,0,0
Arizona,AZ,51.70533825,21,94.00490363,38.88888889,22.22222222,94.00490363,4,25.79,11,0.426521908,1,38.88888889,19,0,0,0,1,0,0,0,0
Arkansas,AR,35.50651656,32,53.74177191,30.55555556,22.22222222,53.74177191,14,23.73,9.25,0.389801938,0,30.55555556,25,0,0,0,0,0,0,0,0
California,CA,90.32074918,2,79.29558088,91.66666667,100,79.29558088,6,30.68,12,0.391134289,1,91.66666667,1,0.25,0.25,1,1,0,1,1,1
Colorado,CO,70.21292061,14,82.86098406,44.44444444,83.33333333,82.86098406,5,27.77,11.1,0.399711919,1,44.44444444,16,0,0,0,0,0,0,0,0
Connecticut,CT,74.14720974,9,43.27496257,79.16666667,100,43.27496257,20,27.7,10.1,0.364620939,0,79.16666667,5,0.5,0.5,0,1,0,1,0,0
Delaware,DE,61.74495202,16,35.23485605,50,100,35.23485605,25,26.79,9.25,0.345278089,0,50,14,0,0,0,0,0,0,0,0
District of Columbia,DC,96.75925926,1,100,90.27777778,100,100,1,31.75,14,0.440944882,1,90.27777778,2,0.5,0.5,1,1,0,1,1,1
Florida,FL,27.28284799,37,26.29298841,22.22222222,33.33333333,26.29298841,29,26.13,8.46,0.323765786,0,22.22222222,37,0,0,0,0,0,0,0,0
Georgia,GA,11.4775306,48,9.432591814,13.88888889,11.11111111,9.432591814,50,25.6,7.25,0.283203125,0,13.88888889,48,0,0,0,0,0,0,0,0
Hawaii,HI,58.49872048,17,21.32949478,54.16666667,100,21.32949478,30,32.39,10.1,0.311824637,0,54.16666667,11,0.5,0,0,0,0,0,0,0
Idaho,ID,19.99566308,45,9.986989242,22.22222222,27.77777778,9.986989242,48,25.48,7.25,0.284536892,0,22.22222222,37,0,0,0,0,0,0,0,0
Illinois,IL,63.40785708,15,45.77912679,44.44444444,100,45.77912679,18,26.57,8.25,0.310500565,1,44.44444444,16,0,0,0,0,0,0,0,0
Indiana,IN,38.11528584,29,17.12363528,30.55555556,66.66666667,17.12363528,34,24.03,7.25,0.301706201,0,30.55555556,25,0,0,0,0,0,0,0,0
Iowa,IA,24.45636696,40,15.73021198,24.30555556,33.33333333,15.73021198,39,24.3,7.25,0.298353909,0,24.30555556,35,0.25,0,0,0,0,0,0,0
Kansas,KS,23.47473419,41,14.86864702,22.22222222,33.33333333,14.86864702,41,24.47,7.25,0.296281161,0,22.22222222,37,0,0,0,0,0,0,0,0
Kentucky,KY,36.45567048,30,17.70034476,30.55555556,61.11111111,17.70034476,32,23.92,7.25,0.303093645,0,30.55555556,25,0,0,0,0,0,0,0,0
Louisiana,LA,23.16408099,42,12.54779853,40.27777778,16.66666667,12.54779853,45,24.94,7.25,0.290697674,0,40.27777778,18,0.25,0.25,0,0,0,0,0,0
Maine,ME,83.98770175,5,97.79643857,54.16666667,100,97.79643857,2,25.25,11,0.435643564,1,54.16666667,11,0.5,0,0,0,0,0,0,0
Maryland,MD,70.55348996,13,58.88269209,52.77777778,100,58.88269209,12,29.53,10.1,0.342025059,1,52.77777778,13,0,0,0,1,0,0,0,0
Massachusetts,MA,85.23548296,4,72.37311554,83.33333333,100,72.37311554,8,27.61,12,0.434625136,0,83.33333333,3,0.5,0,1,1,0,1,0,0
Michigan,MI,38.38044125,28,54.03021263,27.77777778,33.33333333,54.03021263,13,24.2,9.45,0.390495868,0,27.77777778,33,0,0,0,0,0,0,0,0
