State,state_code,Annual State GDP for 2019
Alabama,AL,2.30968E+11
Alaska,AK,55406100000
Arizona,AZ,3.6619E+11
Arkansas,AR,1.33181E+11
California,CA,3.13747E+12
Colorado,CO,3.90284E+11
Connecticut,CT,2.8564E+11
Delaware,DE,75415500000
District of Columbia,DC,1.46194E+11
Florida,FL,1.09335E+12
Georgia,GA,6.16333E+11
Hawaii,HI,97281700000
Idaho,ID,80911000000
Illinois,IL,8.97124E+11
Indiana,IN,3.77104E+11
Iowa,IA,1.94789E+11
Kansas,KS,1.73143E+11
Kentucky,KY,2.14671E+11
Louisiana,LA,2.63857E+11
Maine,ME,67518600000
Maryland,MD,4.28339E+11
Massachusetts,MA,5.95559E+11
Michigan,MI,5.41551E+11
Minnesota,MN,3.80855E+11
Mississippi,MS,1.1878E+11
Missouri,MO,3.32082E+11
Montana,MT,52169100000
Nebraska,NE,1.27037E+11
Nevada,NV,1.77615E+11
New Hampshire,NH,88595000000
New Jersey,NJ,6.44841E+11
New Mexico,NM,1.04002E+11
New York,NY,1.73191E+12
North Carolina,NC,5.87711E+11
North Dakota,ND,57036800000
Ohio,OH,6.98458E+11
Oklahoma,OK,2.06058E+11
Oregon,OR,2.51605E+11
Pennsylvania,PA,8.13514E+11
Rhode Island,RI,63541100000
South Carolina,SC,2.46309E+11
South Dakota,SD,53305700000
Tennessee,TN,3.80138E+11
Texas,TX,1.88696E+12
Utah,UT,1.88501E+11
Vermont,VT,34785100000
Virginia,VA,5.54211E+11
Washington,WA,5.99608E+11
West Virginia,WV,78189500000
Wisconsin,WI,3.47306E+11
Wyoming,WY,39646200000
