State,Abbreviation,state_code,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races
Alabama,Ala.,AL,2.7,2.7,3,13.8,9.6,7.6,7.9,5.6,6.7,5.7,4.4,3.9,0.654,0.265,0.044,0.014,0.004,N/A,0.019
Alaska,Alaska,AK,6,5.8,5.2,13.5,12.7,12.4,11.6,7.4,7.2,5.9,6.3,5.8,0.6,0.022,0.07,0.06,0.151,0.015,0.083
Arizona,Ariz.,AZ,4.5,4.5,6.1,13.4,9,10,10.7,5.9,6.5,7.9,8,7.5,0.542,0.043,0.318,0.033,0.039,0.002,0.024
Arkansas,Ark.,AR,3.5,3.5,5,10.8,9.6,8.1,7.1,7.4,7.2,6.2,6.3,4.2,0.721,0.152,0.078,0.016,0.006,0.004,0.024
California,Calif.,CA,3.9,3.9,5.5,16.4,16.4,14.9,13.5,11.2,11.1,9,8.1,9,0.364,0.053,0.395,0.147,0.004,0.004,0.033
Colorado,Colo.,CO,2.5,2.5,5.2,12.2,10.2,10.6,7.4,6.7,6.4,6.4,6.4,8.4,0.678,0.038,0.218,0.032,0.005,0.001,0.028
Connecticut,Conn.,CT,3.7,3.8,3.4,8.3,9.6,10.1,10.2,8.1,7.7,6.1,8.2,8,0.657,0.1,0.169,0.046,0.002,N/A,0.026
Delaware,Del.,DE,4,3.9,5,14.9,15.9,12.6,10.5,8.9,8.3,5.6,5.1,5.3,0.614,0.218,0.097,0.039,0.003,N/A,0.028
District of Columbia,D.C.,DC,5.2,5.1,6,11.7,8.8,8.7,8.5,8.6,9,8.3,7.5,7.9,0.367,0.45,0.112,0.037,0.003,N/A,0.031
Florida,Fla.,FL,2.8,2.8,4.4,13.8,13.7,10.3,11.4,7.3,7.2,6.4,6.3,6.1,0.53,0.15,0.266,0.027,0.002,0.001,0.024
Georgia,Ga.,GA,3.1,3.1,4.6,12.6,9.4,7.6,7.6,5.7,6.3,4.5,5.7,5.6,0.52,0.313,0.098,0.041,0.002,0.001,0.025
Hawaii,Hawaii,HI,2.7,2.7,2.4,23.8,23.5,13.4,13.5,13,15,14.2,10.4,9.3,0.204,0.012,0.103,0.394,0.001,0.102,0.184
Idaho,Idaho,ID,2.8,2.7,2.5,11.8,9,5.8,5.1,4.2,6.1,5.5,4.9,4.4,0.816,0.007,0.129,0.012,0.009,N/A,0.026
Illinois,Ill.,IL,3.5,3.4,4.2,17.2,15.3,14.5,11.5,11,10.4,7.4,6.9,7.6,0.609,0.136,0.176,0.056,0.001,<.01,0.022
Indiana,Ind.,IN,3.1,3.1,3,17.5,12.3,11.1,7.9,6.4,6.3,5.5,5.1,4.3,0.786,0.092,0.072,0.024,0.002,N/A,0.023
Iowa,Iowa,IA,2.8,2.8,3.3,11,10.2,8.4,6.8,6.3,4.8,3.7,3.8,3.1,0.853,0.039,0.063,0.023,0.003,<.01,0.019
