state_code,travel_distance_metric,visitation_metric,encounters_metric,date_converted,intervention
AK,-0.453395104,-0.44914067,-0.9991334940000001,20200325,1
AK,-0.44869897200000003,-0.39476674100000003,-0.999035514,20200324,1
AK,-0.44347694,-0.41523485200000004,-0.998962618,20200323,1
AK,-0.413533528,-0.445776478,-0.999108494,20200322,1
AK,-0.41025012299999997,-0.523526112,-0.9994182290000001,20200321,1
AK,-0.39283396600000003,-0.509119148,-0.99895487,20200320,1
AK,-0.388823574,-0.3834877,-0.998751842,20200319,1
AK,-0.162511068,-0.27612734,-0.99861313,20200318,0
AK,-0.146091471,-0.192452937,-0.9983963290000001,20200317,0
AK,-0.14301777400000001,-0.100190911,-0.9981025920000001,20200316,0
AK,-0.130169549,-0.132940867,-0.998522655,20200315,0
AK,-0.111261626,-0.151889671,-0.99794087,20200314,0
AK,-0.103371282,-0.200928918,-0.9976603079999999,20200313,0
AK,-0.177199637,-0.153339376,-0.997843667,20200312,0
AL,-0.157815061,-0.452746272,-0.520299991,20200325,1
AL,-0.21582515300000002,-0.48142109899999996,-0.543400572,20200324,1
AL,-0.22128556800000002,-0.478002374,-0.553684074,20200323,1
AL,-0.36416890799999996,-0.5526081970000001,-0.6426224229999999,20200322,1
AL,-0.329140455,-0.637531689,-0.7900427659999999,20200321,1
AL,-0.255647497,-0.634355455,-0.567122654,20200320,1
AL,-0.098890505,-0.449418641,-0.303939006,20200319,1
AL,-0.053424217,-0.305450424,-0.22748196399999998,20200318,0
AL,-0.042803855,-0.224535218,-0.0854352,20200317,0
AL,-0.027042898,-0.125737525,0.10284454300000001,20200316,0
AL,-0.070483232,-0.157985243,-0.069358327,20200315,0
AL,-0.111936546,-0.16769483,0.6241221379999999,20200314,0
AL,-0.056339462,0.038409843,1.110086895,20200313,0
AL,0.038956688999999996,0.114283839,0.996834925,20200312,0
AR,-0.137697118,-0.43323713799999997,-0.783202243,20200325,1
AR,-0.200617632,-0.45180022,-0.7944342190000001,20200324,1
AR,-0.20298322300000002,-0.442689502,-0.788206994,20200323,1
AR,-0.362334503,-0.571633884,-0.8502254909999999,20200322,1
AR,-0.318951741,-0.603891961,-0.8974122370000001,20200321,1
AR,-0.26001727199999997,-0.606213417,-0.790162473,20200320,1
AR,-0.19647538899999997,-0.448106833,-0.68535856,20200319,1
AR,-0.11293570300000001,-0.304775591,-0.677708923,20200318,0
AR,-0.084712833,-0.23259382899999997,-0.647829847,20200317,0
AR,-0.126609275,-0.20577604800000002,-0.604354121,20200316,0
AR,-0.144249565,-0.150339259,-0.6233791479999999,20200315,0
AR,-0.254483548,-0.21571897,-0.444359651,20200314,0
AR,-0.16516951400000002,-0.044048345999999995,-0.231274418,20200313,0
AR,-0.084197702,0.06399052400000001,-0.129746774,20200312,0
AZ,-0.285169252,-0.5297563679999999,-0.880462876,20200325,1
AZ,-0.25837303899999997,-0.50685482,-0.8728089290000001,20200324,1
AZ,-0.296326339,-0.513355143,-0.871522001,20200323,1
AZ,-0.35796053,-0.571894466,-0.8859558740000001,20200322,1
AZ,-0.289749445,-0.597991472,-0.929530608,20200321,1
AZ,-0.25329888899999997,-0.603252779,-0.8784818000000001,20200320,1
AZ,-0.20588757800000002,-0.48749562799999996,-0.8366698440000001,20200319,1
AZ,-0.156620113,-0.376576246,-0.814053287,20200318,0
