state_code,travel_distance_metric,visitation_metric,encounters_metric,date_converted,intervention
AK,-0.502403033,-0.5655035270000001,-0.9989901379999999,20200404,1
AK,-0.49291695399999996,-0.45798063899999997,-0.998769476,20200403,1
AK,-0.548936099,-0.48125010100000004,-0.999139083,20200402,1
AK,-0.49530686,-0.42165610600000003,-0.999096581,20200401,1
AK,-0.456526431,-0.381474815,-0.999090833,20200331,1
AK,-0.46940370600000003,-0.469845248,-0.9991801690000001,20200330,1
AK,-0.558196008,-0.591284347,-0.99942875,20200329,1
AK,-0.491048204,-0.503345901,-0.999115992,20200328,0
AK,-0.487247334,-0.46257471899999997,-0.998961042,20200327,0
AK,-0.470882212,-0.43445440799999996,-0.9990919840000001,20200326,0
AK,-0.453395104,-0.44914067,-0.9991334940000001,20200325,0
AK,-0.44869897200000003,-0.39476674100000003,-0.999035514,20200324,0
AK,-0.44347694,-0.41523485200000004,-0.998962618,20200323,0
AK,-0.413533528,-0.445776478,-0.999108494,20200322,0
AL,-0.394696334,-0.6076261470000001,-0.388052378,20200404,0
AL,-0.317579534,-0.529711805,-0.170969499,20200403,0
AL,-0.23818103300000001,-0.537631532,-0.497739981,20200402,0
AL,-0.21434188699999998,-0.45733841,-0.507485075,20200401,0
AL,-0.262356135,-0.505871286,-0.585158245,20200331,0
AL,-0.23872483600000002,-0.47720325700000005,-0.57364564,20200330,0
AL,-0.37871655600000004,-0.554161155,-0.663046099,20200329,0
AZ,-0.40770951200000005,-0.650540708,-0.854594015,20200404,1
AZ,-0.38741658100000004,-0.603083693,-0.83640334,20200403,1
AZ,-0.375133626,-0.624930176,-0.8967569009999999,20200402,1
AZ,-0.35314329,-0.586455016,-0.902091787,20200401,1
AZ,-0.30106812899999996,-0.52645577,-0.879692565,20200331,0
AZ,-0.33926689200000004,-0.5174782920000001,-0.869243019,20200330,0
AZ,-0.43126251299999996,-0.599598447,-0.899876711,20200329,0
AZ,-0.35225543200000003,-0.581072904,-0.8631390609999999,20200328,0
AZ,-0.36090616600000003,-0.586286891,-0.86129461,20200327,0
AZ,-0.333118429,-0.581700119,-0.879928906,20200326,0
AZ,-0.285169252,-0.5297563679999999,-0.880462876,20200325,0
CA,-0.40869729299999996,-0.647669952,-0.755174018,20200326,1
CA,-0.36181956200000004,-0.597132789,-0.7628986209999999,20200325,1
CA,-0.36310991299999995,-0.599730442,-0.75420066,20200324,1
CA,-0.40941699600000003,-0.634212969,-0.748788295,20200323,1
