State,Abbreviation,state_code,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,federal_family_first_act_date,cumulative_cases_at_ff_act,cumulative_deaths_at_ff_act,new_cases_since_week_before_ff_act,new_death_since_week_before_ff_act,weekly_avg_change_in_avg_distance_after_federal_ff_act,weekly_avg_change_in_visitation_after_federal_ff_act,weekly_avg_change_in_encounter_after_federal_ff_act,state_emerg_date,cumulative_cases_at_state_emerg,cumulative_deaths_at_state_emerg,new_cases_since_week_before_state_emerg,new_death_since_week_before_state_emerg,weekly_avg_change_in_avg_distance_after_state_emerg,weekly_avg_change_in_visitation_after_state_emerg,weekly_avg_change_in_encounter_after_state_emerg,statewide_neb_closure_date,cumulative_cases_at_neb_closure,cumulative_deaths_at_neb_closure,new_cases_since_week_before_neb_closure,new_death_since_week_before_neb_closure,weekly_avg_change_in_avg_distance_after_neb_closure,weekly_avg_change_in_visitation_after_neb_closure,weekly_avg_change_in_encounter_after_neb_closure,statewide_stay_at_home_date,cumulative_cases_at_stay_at_home_order,cumulative_deaths_at_stay_at_home_order,new_cases_since_week_before_stay_at_home_order,new_death_since_week_before_stay_at_home_order,weekly_avg_change_in_avg_distance_after_stay_at_home_order,weekly_avg_change_in_visitation_after_stay_at_home_order,weekly_avg_change_in_encounter_after_stay_at_home_order
Alabama,Ala.,AL,Alabama Power Company,Utlity,Government,393.5,217370,220572,223141,225859,227735,229939,232145,234054,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,No,No,No,,2.7,2.7,48123,20200318,51,0,51,0,-0.234681878,-0.52658339,-0.560158784,20200313,6,0,6,0,-0.09431839300000001,-0.295025334,-0.075195781,nan,nan,nan,nan,nan,nan,nan,nan,20200404,1633,44,913,40,nan,nan,nan
Alaska,Alaska,AK,Arctic Slope Regional Corporation,Energy,Government,79.3,53563,54373,55410,55591,54941,55495,55430,55759,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,No,,6.0,5.8,73181,20200318,9,0,9,0,-0.42157317200000005,-0.445864529,-0.9990521520000001,20200311,0,0,0,0,-0.139088915,-0.17255286,-0.998154222,20200328,102,1,81,1,-0.503384156,-0.481284969,-0.99909929,20200328,102,1,81,1,-0.503384156,-0.481284969,-0.99909929
Arizona,Ariz.,AZ,"Avnet, Inc.",Electronics,"Trade, Transportation, & Utilities",551.3,340673,345474,351709,355333,359405,364277,368556,372522,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,No,Yes,Yes,,4.5,4.5,56581,20200318,28,0,19,0,-0.278109296,-0.544371525,-0.879347419,20200311,9,0,7,0,-0.07565553400000001,-0.158308651,-0.705983025,nan,nan,nan,nan,nan,nan,nan,nan,20200331,1298,24,972,18,-0.380850752,-0.616252398,-0.872461511
Arkansas,Ark.,AR,Walmart Inc.,Retail,"Trade, Transportation, & Utilities",253.2,126089,128353,129033,130201,131038,132438,134022,135225,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,3.5,3.9,45869,20200318,33,0,32,0,-0.239868125,-0.508224708,-0.798428888,20200311,1,0,1,0,-0.138908306,-0.155608788,-0.479807555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
California,Calif.,CA,Apple Inc.,Consumer electronics,"Trade, Transportation, & Utilities","3,062.50",2928096,2992623,3017340,3052871,3087669,3123732,3155224,3183251,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,Yes,Yes,Yes,1.0,3.9,2.5,71805,20200318,893,17,691,13,-0.400841615,-0.644204851,-0.766506118,20200304,55,1,29,1,-0.034065021,-0.087305911,0.40553955399999997,20200319,1067,19,815,15,-0.415916716,-0.655294131,-0.780709891,20200319,1067,19,815,15,-0.415916716,-0.655294131,-0.780709891
Colorado,Colo.,CO,"Arrow Electronics, Inc.",Electronics,"Trade, Transportation, & Utilities",481.5,362721,370477,375312,378489,383690,388731,392348,396367,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,2.5,2.8,69117,20200318,216,3,182,3,-0.370700596,-0.586816456,-0.9222212959999999,20200310,17,0,17,0,-0.067461927,-0.19706943899999999,-0.748725525,20200326,1432,24,1154,19,-0.465451207,-0.642878527,-0.934239787,20200326,1432,24,1154,19,-0.465451207,-0.642878527,-0.934239787
Connecticut,Conn.,CT,Aetna Inc,Health care,Education & Health Services,345.1,272854,273884,278295,277874,281659,284357,287560,288985,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Yes,Yes,Yes,,3.7,3.9,74168,20200318,96,1,93,1,-0.407913619,-0.613161452,-0.298550768,20200310,2,0,2,0,-0.20290672199999998,-0.262037084,1.0214191590000001,20200323,415,10,374,10,-0.460014646,-0.630584726,-0.337442124,20200323,415,10,374,10,-0.460014646,-0.630584726,-0.337442124
Delaware,Del.,DE,DowDuPont Inc.,Chemicals,"Trade, Transportation, & Utilities",82.8,72091,73025,74461,74348,74270,75216,75765,76410,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,4.0,5.2,62852,20200318,26,0,25,0,-0.338009176,-0.602537435,-0.27999429600000003,20200313,4,0,4,0,-0.201752453,-0.375347895,0.270811335,20200324,104,0,88,0,-0.416527225,-0.639562225,-0.370226305,20200324,104,0,88,0,-0.416527225,-0.639562225,-0.370226305
District of Columbia,D.C.,DC,,,Government,239.7,138469,139580,141969,142626,144075,145476,146996,148231,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Yes,Yes,Yes,,5.2,2.8,82372,20200318,36,0,26,0,-0.574594568,-0.7122277159999999,16.74498889,20200311,10,0,10,0,-0.230913603,-0.423630322,60.75874243,20200325,231,3,195,3,-0.641985131,-0.752984024,13.2628834,20200401,586,11,355,8,-0.649388037,-0.789875019,12.58573523
Florida,Fla.,FL,World Fuel Services,Energy,"Trade, Transportation, & Utilities","1,823.00",1020177,1032277,1048478,1056014,1073992,1087312,1100721,1111378,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,No,No,No,,2.8,3.1,52594,20200318,326,7,300,5,-0.328736081,-0.56303964,0.22994028800000002,20200309,14,2,12,2,-0.041004797999999995,-0.131755642,3.8018822180000003,nan,nan,nan,nan,nan,nan,nan,nan,20200403,10260,169,7062,123,-0.568277161,-0.710475962,0.217434774
Georgia,Ga.,GA,"The Home Depot, Inc.",Retail,"Trade, Transportation, & Utilities",954.3,579993,588340,597746,602535,607081,613105,619818,625329,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,No,No,No,,3.1,2.7,56183,20200318,193,3,162,3,-0.284981506,-0.531043652,-0.44094829,20200314,65,1,58,1,-0.18797609199999998,-0.389513366,-0.178833875,nan,nan,nan,nan,nan,nan,nan,nan,20200403,5967,198,3769,134,-0.513433228,-0.696364362,-0.496722154
Hawaii,Hawaii,HI,"waiian Electric Industries, Inc.",Utilities,Leisure & Hospitality,127.6,91947,93589,94288,95369,96094,96832,97664,98536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,No,No,No,,2.7,2.7,77765,20200318,16,0,14,0,-0.319075025,-0.533626478,-0.443280448,20200304,0,0,0,0,0.041171495,-0.073843088,1.24584666,20200325,95,0,79,0,-0.621004471,-0.653470883,-0.596068646,20200325,95,0,79,0,-0.621004471,-0.653470883,-0.596068646
Idaho,Idaho,ID,"Albertsons Companies, Inc.",Grocery,"Trade, Transportation, & Utilities",145.7,75435,76681,77384,78707,79440,80446,81493,82265,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,2.8,3.4,52225,20200318,11,0,11,0,-0.232235529,-0.44929116799999996,-0.968445254,20200313,1,0,1,0,-0.19531316699999998,-0.27737327,-0.9487393,20200325,123,0,112,0,-0.352544607,-0.560849176,-0.974087054,20200325,123,0,112,0,-0.352544607,-0.560849176,-0.974087054
Illinois,Ill.,IL,"Walgreens Boots Alliance, Inc.",Retail pharmacy,"Trade, Transportation, & Utilities",1206.2,851327,860588,872317,877010,884430,893580,901572,908913,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,No,No,No,2.0,3.5,3.1,62992,20200318,286,1,261,1,-0.35019839799999997,-0.639479779,-0.614781549,20200309,11,0,7,0,-0.11148388,-0.159725946,0.709886153,20200321,751,6,685,6,-0.395949876,-0.654777128,-0.627805484,20200321,751,6,685,6,-0.395949876,-0.654777128,-0.627805484
Indiana,Ind.,IN,"Anthem, Inc.",Health care,"Trade, Transportation, & Utilities",602,361794,365478,368748,371183,372061,375491,379133,381733,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,3.1,2.8,54181,20200318,39,2,28,2,-0.255529462,-0.559835885,-0.629388336,20200306,1,0,1,0,-0.035982778,-0.068172653,0.49548208,20200324,366,12,336,10,-0.354543449,-0.596853538,-0.684207201,20200325,479,14,440,12,-0.356678889,-0.588107733,-0.680009138
Iowa,Iowa,IA,Berkshire Hathaway Energy Company,Energy,"Trade, Transportation, & Utilities",308.2,186653,190179,190936,191038,192086,194038,195858,197172,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,No,No,No,,2.8,3.1,58570,20200318,38,0,24,0,-0.25088848399999997,-0.583984382,-0.886795309,20200309,8,0,8,0,-0.06828171200000001,-0.129933432,-0.598082469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kansas,Kans.,KS,"Koch Industries, Inc.",Conglomerate,"Trade, Transportation, & Utilities",268.2,165477,168173,169379,170243,170325,172358,174183,175703,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,No,No,No,,3.1,4.2,56422,20200318,22,1,21,1,-0.277056975,-0.530502523,-0.911266995,20200312,5,1,5,1,-0.116867364,-0.250519439,-0.828187827,nan,nan,nan,nan,nan,nan,nan,nan,20200330,373,9,291,7,-0.375826879,-0.576819185,-0.913499073
Kentucky,Ky.,KY,Humana Inc.,Health care,"Trade, Transportation, & Utilities",400.8,204567,207646,209065,211073,211801,213735,215586,217564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No,,4.3,5.2,48375,20200318,35,1,28,1,-0.263203555,-0.541439731,-0.749106487,20200306,1,0,1,0,-0.042083424,-0.05441159,0.188638627,20200326,248,5,201,3,-0.327670035,-0.509751543,-0.74711741,20200326,248,5,201,3,-0.327670035,-0.509751543,-0.74711741
Louisiana,La.,LA,"CenturyLink, Inc.",Telecommunications,"Trade, Transportation, & Utilities",378.1,251745,256655,259273,261479,260428,263094,264853,267051,1.2,1.3,1.2,1.3,1.2,1.2,1.2,1.2,No,No,No,,5.1,3.2,46145,20200318,280,7,267,7,-0.32762688,-0.573643043,-0.71088992,20200311,13,0,13,0,-0.112403541,-0.171607397,-0.07524645,20200323,1172,34,1035,31,-0.369754176,-0.585411392,-0.733466748,20200323,1172,34,1035,31,-0.369754176,-0.585411392,-0.733466748
Maine,Maine,ME,"Hannaford Bros. Co, LLC",Grocery,Education & Health Services,130.2,63698,64746,65434,65545,66590,67138,67905,68441,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,Yes,3.0,3.1,3.3,56277,20200318,43,0,43,0,-0.346619868,-0.544545274,-0.967916372,20200315,12,0,12,0,-0.28899895600000003,-0.453324934,-0.959867823,20200325,142,0,99,0,-0.393467352,-0.545872234,-0.96776979,20200401,344,7,202,7,-0.450882637,-0.659102775,-0.97222223
