state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,State,Abbreviation,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017
AK,2020-02-24,0,0,0,0,-23,-16,-33,-33,0.03185145415626392,-0.0214004960436846,-0.996683227937607,Alaska,Alaska,Arctic Slope Regional Corporation,Energy,Government,79.3,53563.0,54373.0,55410.0,55591.0,54941.0,55495.0,55430.0,55759.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,No,,6.0,5.8,73181.0
AL,2020-02-24,0,0,0,0,-23,-18,nan,-40,-0.005182475907141554,-0.04523652399104471,0.9632409768322191,Alabama,Ala.,Alabama Power Company,Utlity,Government,393.5,217370.0,220572.0,223141.0,225859.0,227735.0,229939.0,232145.0,234054.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,No,No,No,,2.7,2.7,48123.0
AR,2020-02-24,0,0,0,0,-23,-16,nan,nan,-0.0002884918333153274,-0.05899208093503036,-0.13909479599787722,Arkansas,Ark.,Walmart Inc.,Retail,"Trade, Transportation, & Utilities",253.2,126089.0,128353.0,129033.0,130201.0,131038.0,132438.0,134022.0,135225.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,3.5,3.9,45869.0
AZ,2020-02-24,1,0,0,0,-23,-16,nan,-36,0.027054050150535216,-0.0447185926066214,-0.459750920665928,Arizona,Ariz.,"Avnet, Inc.",Electronics,"Trade, Transportation, & Utilities",551.3,340673.0,345474.0,351709.0,355333.0,359405.0,364277.0,368556.0,372522.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,No,Yes,Yes,,4.5,4.5,56581.0
CA,2020-02-24,11,0,4,0,-23,-9,-24,-24,-0.000574249507610032,-0.052856127508159705,0.7718254822355499,California,Calif.,Apple Inc.,Consumer electronics,"Trade, Transportation, & Utilities","3,062.50",2928096.0,2992623.0,3017340.0,3052871.0,3087669.0,3123732.0,3155224.0,3183251.0,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,Yes,Yes,Yes,1.0,3.9,2.5,71805.0
CO,2020-02-24,0,0,0,0,-23,-16,-31,-31,0.008444371943806102,-0.04882943343265912,-0.6033128456536856,Colorado,Colo.,"Arrow Electronics, Inc.",Electronics,"Trade, Transportation, & Utilities",481.5,362721.0,370477.0,375312.0,378489.0,383690.0,388731.0,392348.0,396367.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,2.5,2.8,69117.0
CT,2020-02-24,0,0,0,0,-23,-15,-28,-28,0.002686302500198677,-0.06098507810101845,2.898706540984323,Connecticut,Conn.,Aetna Inc,Health care,Education & Health Services,345.1,272854.0,273884.0,278295.0,277874.0,281659.0,284357.0,287560.0,288985.0,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Yes,Yes,Yes,,3.7,3.9,74168.0
DC,2020-02-24,0,0,0,0,-23,-16,-30,-37,-0.052936510547062124,0.009718441973827865,240.21740713091518,District of Columbia,D.C.,,,Government,239.7,138469.0,139580.0,141969.0,142626.0,144075.0,145476.0,146996.0,148231.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Yes,Yes,Yes,,5.2,2.8,82372.0
DE,2020-02-24,0,0,0,0,-23,-18,-29,-29,0.0073707608682033405,-0.09200260172234596,2.2558021723430057,Delaware,Del.,DowDuPont Inc.,Chemicals,"Trade, Transportation, & Utilities",82.8,72091.0,73025.0,74461.0,74348.0,74270.0,75216.0,75765.0,76410.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,4.0,5.2,62852.0
FL,2020-02-24,0,0,0,0,-23,-14,nan,-39,-0.0070050267949225645,-0.057626789655167564,5.95378326935924,Florida,Fla.,World Fuel Services,Energy,"Trade, Transportation, & Utilities","1,823.00",1020177.0,1032277.0,1048478.0,1056014.0,1073992.0,1087312.0,1100721.0,1111378.0,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,No,No,No,,2.8,3.1,52594.0
