state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-03,0,0,0,0,-15,-8,-25,-25,-0.003231947007431149,0.017191043683455445,-0.9968031698249954,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-03,0,0,0,0,-15,-10,nan,-32,-0.013216164602226278,-0.030119148846124374,1.0983398791565664,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-03,0,0,0,0,-15,-8,nan,nan,0.022080559758135256,0.002281335487220829,-0.12103874172607933,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-03,2,0,1,0,-15,-8,nan,-28,-0.007499833512758072,-0.03295855708882394,-0.4587563945414134,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-03,45,0,34,0,-15,-1,-16,-16,-0.0224259654511928,-0.006079164686751272,0.5391756912353002,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-03,0,0,0,0,-15,-8,-23,-23,0.004315232043502332,-0.00592084246548475,-0.6019463866886416,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-03,0,0,0,0,-15,-7,-20,-20,-0.040152229072809256,-0.057114876075784526,2.6755299894910918,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-03,0,0,0,0,-15,-8,-22,-29,0.11518813857866615,-0.006029954589657359,254.66417778919896,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-03,0,0,0,0,-15,-10,-21,-21,-0.011092697674925626,-0.04778173596280947,2.1539475838194857,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-03,3,0,3,0,-15,-6,nan,-31,-0.029332525008975506,-0.05881907578766112,5.202092537807067,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-03-03,2,0,2,0,-15,-11,nan,-31,-0.029616572960463963,-0.03959565663914815,1.8194573415632005,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-03-03,0,0,0,0,-15,-1,-22,-22,-0.037161076775112274,-0.06368625246427387,1.1452413790268494,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-03-03,0,0,0,0,-15,-14,nan,nan,0.004983109403715561,-0.021771519458535647,-0.39848213091985135,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-03-03,0,0,0,0,-15,-10,-22,-22,-0.05149073449687696,-0.03692640415531856,-0.9026477938307504,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-03-03,4,0,2,0,-15,-6,-18,-18,-0.01412171388792966,-0.031611330617384484,1.5839720112182123,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
IN,2020-03-03,0,0,0,0,-15,-3,-22,-22,-0.0037508169819421367,-0.00657579509514456,0.6844604116582786,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1
KS,2020-03-03,0,0,0,0,-15,-9,nan,-27,-0.0010428843041285834,-0.018254988461516464,-0.6530158373883139,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4
KY,2020-03-03,0,0,0,0,-15,-3,-23,-23,-0.011020976878258282,0.004022113503010999,0.29895213071396665,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5
LA,2020-03-03,0,0,0,0,-15,-8,-20,-20,-0.017324965916310484,-0.029363355678721306,0.4868073598565457,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1
MA,2020-03-03,2,0,1,0,-15,-7,-21,-21,-0.040113371511379926,-0.011814716483297108,3.886678080141852,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5
MD,2020-03-03,0,0,0,0,-15,-2,-20,-27,-0.03571933673742597,-0.040627458831514765,3.18354108285435,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9
ME,2020-03-03,0,0,0,0,-15,-12,-22,-29,-0.013913398785012252,0.012118796050700336,-0.8630880836944514,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2
MI,2020-03-03,0,0,0,0,-15,-29,-20,-21,-0.007607033625305955,-0.04260441048031744,0.22406658580535965,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2
MN,2020-03-03,0,0,0,0,-15,-10,nan,-25,-0.03226417596414638,-0.030388271631212924,-0.4643642692603839,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9
MO,2020-03-03,0,0,0,0,-15,-10,nan,-34,-0.0009458208543089428,-0.021747817066060767,0.08224803534801417,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1
MS,2020-03-03,0,0,0,0,-15,-11,-31,-31,0.00030523758505760423,0.005875387591839079,-0.0777984354243546,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6
MT,2020-03-03,0,0,0,0,-15,-9,-25,-25,-0.026814414202544,0.0003091114652469417,-0.9774693849811084,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9
NC,2020-03-03,1,0,1,0,-15,-7,-27,-27,-0.007978269373164391,-0.03361039945087086,1.061240799148008,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8
ND,2020-03-03,0,0,0,0,-15,-10,nan,nan,-0.02396571592234804,-0.032923744932415934,-0.93142732964569,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6
NE,2020-03-03,13,0,0,0,-15,-10,nan,nan,-0.024564147055808654,-0.04366449836845297,-0.7536963530383148,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6
NH,2020-03-03,2,0,2,0,-15,-10,-25,-25,-0.028487985855296705,-0.016293043595192992,-0.3071809236994761,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D,24.4,33.7
NJ,2020-03-03,0,0,0,0,-15,-6,-18,-18,-0.039225573471306716,-0.04664602314238626,9.65151585251249,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D,28.7,50.2
NM,2020-03-03,0,0,0,0,-15,-8,-21,-21,0.021534237647956204,-0.008657180215148642,-0.9338217718547296,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D,22.1,36.9
NV,2020-03-03,0,0,0,0,-15,-9,nan,-28,-0.04231091436723757,-0.05829268098626932,-0.6705640172513859,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D,23.9,57.2
NY,2020-03-03,2,0,2,0,-15,-4,-19,-19,-0.04376368336623519,-0.040762823126487324,5.070853584186562,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D,35.0,53.1
OH,2020-03-03,0,0,0,0,-15,-6,-21,-21,-0.022319363949800074,-0.024114370528525088,1.5979399881470742,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R,23.5,43.0
OK,2020-03-03,0,0,0,0,-15,-30,-29,nan,0.010882193621094592,-0.0063038673706274926,-0.14889338320992074,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R,21.5,30.2
OR,2020-03-03,2,0,2,0,-15,-5,nan,-20,-0.04387250305346142,-0.02925733935141585,-0.793730397120279,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D,24.4,46.1
PA,2020-03-03,0,0,0,0,-15,-3,-20,-29,-0.02979002986088012,-0.03392842408220905,0.9826070209002552,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R,26.4,45.1
RI,2020-03-03,2,0,2,0,-15,-6,nan,-25,-0.03842583239259514,-0.04541477204232162,3.766375067871124,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D,23.9,44.9
SC,2020-03-03,0,0,0,0,-15,-10,nan,-35,-0.02656243334864541,-0.041657578814584366,0.9353630320961508,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R,24.4,34.4
SD,2020-03-03,0,0,0,0,-15,-30,nan,nan,0.006087379209898626,0.011896615845408218,-0.9356562104268406,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R,16.6,29.8
TN,2020-03-03,0,0,0,0,-15,-9,-29,-30,-0.03257875469351065,-0.009126596322215907,0.883734455407864,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R,25.3,40.9
TX,2020-03-03,11,0,1,0,-15,-10,nan,-30,-0.01223456165536586,-0.026308742663954637,0.8038438956922462,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R,26.4,49.3
UT,2020-03-03,1,0,0,0,-15,-3,nan,-24,-0.013098946169437124,-0.03282493744055223,-0.7754373072208925,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R,21.6,43.3
VA,2020-03-03,0,0,0,0,-15,-9,nan,-27,-0.013616556189072232,0.01887922288469598,0.5225236864012194,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D,27.8,47.1
VT,2020-03-03,0,0,0,0,-15,-10,-22,-21,-0.05412864299316277,0.021894105434946798,-0.8577667642919149,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D,23.3,31.3
WA,2020-03-03,32,10,27,10,-15,3,-22,-20,-0.07085951368590075,-0.04522108305165935,-0.4092614079932705,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D,27.6,48.6
WI,2020-03-03,1,0,0,0,-15,-9,-22,-22,-0.010606763780621848,0.005681049208766313,-0.4878069061256869,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R,21.5,34.2
WV,2020-03-03,0,0,0,0,-15,-13,-21,-21,-0.012102769385310243,-0.012839605775134358,-0.4600072281385218,Government,152.1,No,No,No,5.0,3.7,70979,AlllR,1,R,23.9,35.5
WY,2020-03-03,0,0,0,0,-15,-10,nan,nan,-0.09941542135547764,-0.03611372346527332,-0.9779017183564453,Trade Transportation and Utilities,532.8,No,No,No,3.7,5.8,59305,AllR,1,R,17.3,46.8
