state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-07,0,0,0,0,-11,-4,-21,-21,-0.06248687821291937,0.055863316466526106,-0.9958035201699736,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-07,0,0,0,0,-11,-6,nan,-28,0.04933789181762491,0.022034174801426488,1.4823667280484938,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-07,0,0,0,0,-11,-4,nan,nan,0.04262877250607649,0.027454258277002527,0.04420391758769138,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-07,5,0,4,0,-11,-4,nan,-24,0.07485904721956643,0.002903787478279344,-0.41792580607293417,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-07,100,1,72,1,-11,3,-12,-12,-0.01257468673314573,-0.02554786397623996,0.458580368746712,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-07,8,0,8,0,-11,-4,-19,-19,0.08639819693537942,0.03764592468301898,-0.4566085127930598,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-07,0,0,0,0,-11,-3,-16,-16,0.0016043899175006075,0.014113465386231466,2.9601250622979225,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-07,1,0,1,0,-11,-4,-18,-25,0.02002663890087093,0.1000575832505834,155.10256205911162,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-07,0,0,0,0,-11,-6,-17,-17,0.003758500982152472,0.02327420838706996,2.632687313007461,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-07,12,2,12,2,-11,-2,nan,-27,0.03923661404936198,0.022174045718403975,7.395294610473609,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-07,7,0,7,0,-11,-7,nan,-27,0.020460937350857637,0.0014514228158191314,2.5269566665431484,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
